name,count
Katrin Göring-Eckardt,697
Ursula von der Leyen,387
Julia Klöckner,371
Annegret Kramp-Karrenbauer,308
Cem Özdemir,254
Jens Spahn,198
Claudia Roth,159
Wolfgang Kubicki,145
Christian Lindner,140
Ilse Aigner,128
Anton Hofreiter,110
Hermann Gröhe,100
Norbert Röttgen,98
Peter Altmaier,93
Peter Tauber,92
Jürgen Trittin,92
Dorothee Bär,92
Thomas de Maizière,88
Renate Künast,82
Katja Suding,80
Armin Laschet,78
Markus Söder,77
Johanna Wanka,68
Boris Palmer,68
Winfried Kretschmann,67
Horst Seehofer,67
Alexander Graf Lambsdorff,67
Simone Peter,62
Karl-Theodor zu Guttenberg,56
Annette Widmann-Mauz,54
Nicola Beer,53
Andreas Scheuer,50
Volker Kauder,47
Alexander Dobrindt,43
Philipp Rösler,39
Robert Habeck,39
Günther Oettinger,39
Hermann Otto Solms,38
Volker Bouffier,36
Rebecca Harms,35
Konstantin von Notz,34
Hans-Peter Friedrich,33
Ska Keller,32
Wolfgang Schäuble,27
Gesine Meißner,26
Omid Nouripour,26
Jens Weidmann,24
Gerd Müller,23
Marie-Agnes Strack-Zimmermann,23
Manfred Weber,20
Joachim Herrmann,20
Ralph Brinkhaus,17
Johannes Vogel,12
Christian Schmidt,12
Sven Giegold,11
Volker Wissing,8
Carl-Ludwig Thiele,7
Michael Theurer,5
Werner Hoyer,3
