name,count
Cem Özdemir,2317
Christian Lindner,448
Alexander Graf Lambsdorff,418
Karl-Theodor zu Guttenberg,183
Norbert Röttgen,150
Katrin Göring-Eckardt,127
Günther Oettinger,125
Ursula von der Leyen,124
Horst Seehofer,87
Thomas de Maizière,75
Jürgen Trittin,72
Wolfgang Kubicki,71
Anton Hofreiter,62
Peter Altmaier,59
Claudia Roth,57
Winfried Kretschmann,51
Markus Söder,41
Omid Nouripour,38
Andreas Scheuer,37
Jens Spahn,37
Julia Klöckner,35
Peter Tauber,33
Philipp Rösler,30
Wolfgang Schäuble,25
Annette Widmann-Mauz,25
Ska Keller,24
Alexander Dobrindt,24
Annegret Kramp-Karrenbauer,23
Volker Kauder,22
Volker Bouffier,21
Boris Palmer,20
Renate Künast,19
Robert Habeck,19
Ilse Aigner,19
Hermann Otto Solms,18
Gesine Meißner,18
Katja Suding,17
Armin Laschet,16
Manfred Weber,16
Gerd Müller,16
Joachim Herrmann,16
Dorothee Bär,14
Konstantin von Notz,12
Hans-Peter Friedrich,12
Sven Giegold,11
Johanna Wanka,10
Nicola Beer,10
Rebecca Harms,9
Hermann Gröhe,9
Simone Peter,7
Jens Weidmann,6
Werner Hoyer,6
Christian Schmidt,4
Johannes Vogel,4
Carl-Ludwig Thiele,3
Michael Theurer,3
Ralph Brinkhaus,3
Marie-Agnes Strack-Zimmermann,2
