name,count
Johanna Wanka,1060
Katja Suding,456
Nicola Beer,329
Christian Lindner,211
Karl-Theodor zu Guttenberg,205
Julia Klöckner,203
Katrin Göring-Eckardt,168
Annegret Kramp-Karrenbauer,140
Wolfgang Kubicki,134
Alexander Graf Lambsdorff,130
Ursula von der Leyen,118
Ilse Aigner,100
Jens Spahn,90
Dorothee Bär,84
Marie-Agnes Strack-Zimmermann,83
Gesine Meißner,80
Peter Tauber,78
Günther Oettinger,78
Philipp Rösler,76
Claudia Roth,70
Renate Künast,68
Simone Peter,61
Annette Widmann-Mauz,59
Cem Özdemir,58
Norbert Röttgen,53
Markus Söder,48
Winfried Kretschmann,44
Konstantin von Notz,43
Ska Keller,43
Andreas Scheuer,42
Volker Bouffier,41
Alexander Dobrindt,41
Johannes Vogel,37
Peter Altmaier,36
Hermann Otto Solms,36
Rebecca Harms,36
Boris Palmer,35
Robert Habeck,34
Jürgen Trittin,33
Horst Seehofer,32
Thomas de Maizière,32
Volker Kauder,30
Anton Hofreiter,29
Armin Laschet,27
Joachim Herrmann,25
Carl-Ludwig Thiele,25
Hermann Gröhe,24
Omid Nouripour,21
Gerd Müller,21
Wolfgang Schäuble,19
Manfred Weber,19
Jens Weidmann,18
Sven Giegold,17
Hans-Peter Friedrich,17
Christian Schmidt,16
Volker Wissing,15
Werner Hoyer,13
Michael Theurer,12
Ralph Brinkhaus,7
