name,count
Peter Altmaier,2455
Peter Tauber,239
Jens Spahn,233
Horst Seehofer,175
Thomas de Maizière,161
Annegret Kramp-Karrenbauer,152
Volker Kauder,132
Julia Klöckner,114
Wolfgang Schäuble,108
Ursula von der Leyen,88
Norbert Röttgen,88
Günther Oettinger,79
Hermann Gröhe,77
Karl-Theodor zu Guttenberg,69
Cem Özdemir,66
Jens Weidmann,62
Armin Laschet,61
Winfried Kretschmann,57
Volker Bouffier,54
Wolfgang Kubicki,45
Markus Söder,45
Christian Lindner,42
Jürgen Trittin,39
Claudia Roth,37
Katrin Göring-Eckardt,35
Andreas Scheuer,33
Alexander Graf Lambsdorff,31
Anton Hofreiter,31
Annette Widmann-Mauz,27
Alexander Dobrindt,25
Johanna Wanka,23
Philipp Rösler,22
Boris Palmer,21
Renate Künast,21
Ilse Aigner,21
Joachim Herrmann,20
Hans-Peter Friedrich,19
Ska Keller,14
Rebecca Harms,13
Omid Nouripour,12
Dorothee Bär,11
Robert Habeck,11
Ralph Brinkhaus,10
Simone Peter,10
Hermann Otto Solms,9
Konstantin von Notz,7
Katja Suding,7
Sven Giegold,6
Gerd Müller,6
Gesine Meißner,6
Christian Schmidt,5
Marie-Agnes Strack-Zimmermann,5
Nicola Beer,5
Manfred Weber,4
Carl-Ludwig Thiele,3
Werner Hoyer,3
Johannes Vogel,3
Volker Wissing,2
Michael Theurer,1
