name,count
Gerd Müller,641
Claudia Roth,213
Katrin Göring-Eckardt,197
Alexander Graf Lambsdorff,178
Cem Özdemir,166
Anton Hofreiter,163
Norbert Röttgen,157
Ursula von der Leyen,128
Ilse Aigner,120
Katja Suding,115
Nicola Beer,110
Johanna Wanka,109
Omid Nouripour,105
Wolfgang Kubicki,103
Horst Seehofer,103
Philipp Rösler,102
Karl-Theodor zu Guttenberg,99
Dorothee Bär,94
Renate Künast,90
Ska Keller,89
Julia Klöckner,88
Christian Lindner,87
Thomas de Maizière,84
Alexander Dobrindt,83
Markus Söder,81
Jürgen Trittin,81
Günther Oettinger,81
Jens Spahn,80
Peter Tauber,80
Christian Schmidt,76
Simone Peter,74
Hermann Gröhe,74
Annette Widmann-Mauz,72
Rebecca Harms,63
Winfried Kretschmann,62
Boris Palmer,61
Peter Altmaier,61
Konstantin von Notz,58
Andreas Scheuer,56
Jens Weidmann,54
Robert Habeck,52
Annegret Kramp-Karrenbauer,46
Volker Bouffier,44
Gesine Meißner,43
Wolfgang Schäuble,41
Hermann Otto Solms,41
Volker Kauder,38
Hans-Peter Friedrich,38
Marie-Agnes Strack-Zimmermann,35
Werner Hoyer,34
Manfred Weber,30
Joachim Herrmann,30
Ralph Brinkhaus,29
Sven Giegold,29
Armin Laschet,28
Carl-Ludwig Thiele,27
Johannes Vogel,21
Volker Wissing,12
Michael Theurer,4
