name,count
Julia Klöckner,772
Ursula von der Leyen,498
Katrin Göring-Eckardt,482
Dorothee Bär,342
Katja Suding,317
Ilse Aigner,238
Annegret Kramp-Karrenbauer,230
Johanna Wanka,211
Claudia Roth,169
Annette Widmann-Mauz,168
Simone Peter,140
Nicola Beer,128
Jens Spahn,101
Renate Künast,75
Horst Seehofer,66
Ska Keller,62
Gesine Meißner,62
Wolfgang Kubicki,60
Rebecca Harms,56
Christian Lindner,53
Markus Söder,50
Anton Hofreiter,48
Peter Altmaier,46
Peter Tauber,43
Marie-Agnes Strack-Zimmermann,41
Thomas de Maizière,38
Philipp Rösler,37
Karl-Theodor zu Guttenberg,35
Wolfgang Schäuble,33
Winfried Kretschmann,33
Robert Habeck,31
Alexander Dobrindt,31
Andreas Scheuer,30
Volker Kauder,30
Alexander Graf Lambsdorff,30
Hermann Gröhe,30
Cem Özdemir,28
Armin Laschet,26
Volker Bouffier,25
Jürgen Trittin,25
Norbert Röttgen,25
Günther Oettinger,24
Hans-Peter Friedrich,23
Boris Palmer,22
Jens Weidmann,18
Konstantin von Notz,15
Joachim Herrmann,14
Hermann Otto Solms,13
Gerd Müller,12
Ralph Brinkhaus,10
Sven Giegold,10
Omid Nouripour,10
Johannes Vogel,9
Christian Schmidt,8
Manfred Weber,8
Carl-Ludwig Thiele,7
Werner Hoyer,5
Volker Wissing,4
Michael Theurer,3
