name,count
Christian Lindner,1512
Wolfgang Schäuble,426
Wolfgang Kubicki,393
Jens Weidmann,321
Alexander Graf Lambsdorff,239
Hermann Otto Solms,231
Markus Söder,195
Jens Spahn,166
Thomas de Maizière,94
Peter Altmaier,89
Cem Özdemir,74
Anton Hofreiter,73
Claudia Roth,72
Karl-Theodor zu Guttenberg,68
Jürgen Trittin,60
Sven Giegold,57
Philipp Rösler,57
Ursula von der Leyen,56
Carl-Ludwig Thiele,55
Norbert Röttgen,52
Renate Künast,51
Katrin Göring-Eckardt,49
Annegret Kramp-Karrenbauer,44
Günther Oettinger,43
Volker Kauder,43
Winfried Kretschmann,41
Werner Hoyer,38
Julia Klöckner,37
Alexander Dobrindt,36
Ralph Brinkhaus,35
Armin Laschet,32
Ilse Aigner,31
Katja Suding,31
Volker Bouffier,31
Horst Seehofer,22
Peter Tauber,21
Andreas Scheuer,21
Boris Palmer,20
Volker Wissing,19
Simone Peter,19
Konstantin von Notz,17
Nicola Beer,16
Hermann Gröhe,15
Marie-Agnes Strack-Zimmermann,15
Johanna Wanka,14
Joachim Herrmann,14
Annette Widmann-Mauz,13
Hans-Peter Friedrich,13
Omid Nouripour,12
Dorothee Bär,12
Robert Habeck,11
Rebecca Harms,9
Gesine Meißner,9
Michael Theurer,8
Ska Keller,8
Gerd Müller,7
Johannes Vogel,6
Manfred Weber,4
Christian Schmidt,3
