name,count
Christian Lindner,5471
Cem Özdemir,5391
Ursula von der Leyen,4785
Katrin Göring-Eckardt,4533
Peter Altmaier,4478
Wolfgang Kubicki,3589
Thomas de Maizière,3485
Anton Hofreiter,3332
Alexander Graf Lambsdorff,3183
Julia Klöckner,3043
Jens Spahn,2569
Joachim Herrmann,2516
Johanna Wanka,2350
Ilse Aigner,2328
Hermann Gröhe,2176
Karl-Theodor zu Guttenberg,2175
Katja Suding,2071
Annegret Kramp-Karrenbauer,2031
Alexander Dobrindt,1975
Claudia Roth,1939
Norbert Röttgen,1882
Jürgen Trittin,1728
Renate Künast,1710
Markus Söder,1700
Dorothee Bär,1623
Nicola Beer,1500
Peter Tauber,1413
Winfried Kretschmann,1410
Horst Seehofer,1390
Robert Habeck,1357
Gerd Müller,1310
Philipp Rösler,1280
Annette Widmann-Mauz,1215
Wolfgang Schäuble,1215
Andreas Scheuer,1167
Günther Oettinger,1152
Volker Kauder,1085
Hermann Otto Solms,1052
Boris Palmer,1029
Simone Peter,975
Christian Schmidt,942
Konstantin von Notz,929
Jens Weidmann,912
Hans-Peter Friedrich,846
Volker Bouffier,796
Armin Laschet,718
Ska Keller,676
Rebecca Harms,641
Omid Nouripour,614
Gesine Meißner,564
Marie-Agnes Strack-Zimmermann,525
Sven Giegold,440
Ralph Brinkhaus,399
Carl-Ludwig Thiele,365
Manfred Weber,354
Johannes Vogel,273
Volker Wissing,261
Werner Hoyer,231
Michael Theurer,166
