name,count
Hermann Gröhe,1343
Annette Widmann-Mauz,435
Jens Spahn,335
Philipp Rösler,298
Julia Klöckner,288
Ursula von der Leyen,286
Katja Suding,196
Katrin Göring-Eckardt,193
Ilse Aigner,187
Peter Altmaier,164
Annegret Kramp-Karrenbauer,160
Dorothee Bär,155
Johanna Wanka,152
Nicola Beer,140
Renate Künast,128
Claudia Roth,116
Norbert Röttgen,108
Alexander Graf Lambsdorff,100
Wolfgang Kubicki,98
Simone Peter,88
Peter Tauber,84
Thomas de Maizière,80
Jürgen Trittin,74
Gesine Meißner,74
Wolfgang Schäuble,72
Markus Söder,66
Cem Özdemir,64
Volker Kauder,64
Horst Seehofer,63
Hermann Otto Solms,62
Anton Hofreiter,61
Ska Keller,60
Marie-Agnes Strack-Zimmermann,60
Christian Lindner,59
Winfried Kretschmann,59
Armin Laschet,57
Rebecca Harms,56
Volker Bouffier,52
Alexander Dobrindt,50
Konstantin von Notz,44
Andreas Scheuer,43
Joachim Herrmann,42
Günther Oettinger,41
Boris Palmer,40
Jens Weidmann,37
Omid Nouripour,36
Carl-Ludwig Thiele,31
Hans-Peter Friedrich,30
Robert Habeck,30
Sven Giegold,26
Gerd Müller,26
Karl-Theodor zu Guttenberg,25
Ralph Brinkhaus,24
Christian Schmidt,20
Manfred Weber,17
Johannes Vogel,16
Werner Hoyer,15
Volker Wissing,12
Michael Theurer,9
