name,count
Joachim Herrmann,1282
Thomas de Maizière,1068
Markus Söder,155
Wolfgang Kubicki,140
Cem Özdemir,129
Boris Palmer,119
Hans-Peter Friedrich,117
Horst Seehofer,117
Christian Lindner,115
Jens Spahn,110
Ursula von der Leyen,96
Karl-Theodor zu Guttenberg,92
Peter Altmaier,88
Annegret Kramp-Karrenbauer,85
Claudia Roth,80
Alexander Graf Lambsdorff,78
Katrin Göring-Eckardt,77
Andreas Scheuer,71
Konstantin von Notz,65
Winfried Kretschmann,65
Julia Klöckner,64
Volker Kauder,60
Anton Hofreiter,57
Jürgen Trittin,57
Renate Künast,57
Alexander Dobrindt,56
Norbert Röttgen,55
Peter Tauber,53
Volker Bouffier,49
Armin Laschet,42
Philipp Rösler,40
Günther Oettinger,35
Ilse Aigner,30
Simone Peter,28
Johanna Wanka,24
Hermann Otto Solms,24
Dorothee Bär,22
Katja Suding,22
Hermann Gröhe,21
Omid Nouripour,21
Nicola Beer,19
Wolfgang Schäuble,19
Christian Schmidt,16
Manfred Weber,16
Gerd Müller,16
Annette Widmann-Mauz,14
Ralph Brinkhaus,12
Ska Keller,11
Gesine Meißner,11
Marie-Agnes Strack-Zimmermann,10
Johannes Vogel,10
Sven Giegold,8
Rebecca Harms,7
Jens Weidmann,6
Robert Habeck,6
Michael Theurer,5
Carl-Ludwig Thiele,4
Volker Wissing,2
Werner Hoyer,2
