name,count
Wolfgang Kubicki,870
Alexander Graf Lambsdorff,401
Thomas de Maizière,294
Nicola Beer,186
Katja Suding,183
Jens Spahn,160
Konstantin von Notz,159
Karl-Theodor zu Guttenberg,150
Annegret Kramp-Karrenbauer,140
Hermann Otto Solms,127
Norbert Röttgen,123
Joachim Herrmann,117
Julia Klöckner,94
Christian Lindner,91
Volker Kauder,91
Peter Tauber,86
Markus Söder,84
Andreas Scheuer,81
Ursula von der Leyen,76
Renate Künast,74
Philipp Rösler,70
Volker Bouffier,69
Peter Altmaier,68
Gesine Meißner,65
Hans-Peter Friedrich,65
Hermann Gröhe,65
Marie-Agnes Strack-Zimmermann,62
Jürgen Trittin,60
Katrin Göring-Eckardt,59
Johanna Wanka,57
Alexander Dobrindt,57
Cem Özdemir,56
Armin Laschet,52
Claudia Roth,50
Ilse Aigner,47
Anton Hofreiter,45
Dorothee Bär,44
Boris Palmer,43
Annette Widmann-Mauz,42
Horst Seehofer,40
Carl-Ludwig Thiele,39
Omid Nouripour,38
Günther Oettinger,36
Winfried Kretschmann,35
Simone Peter,34
Wolfgang Schäuble,30
Johannes Vogel,27
Jens Weidmann,25
Gerd Müller,24
Ralph Brinkhaus,21
Rebecca Harms,19
Christian Schmidt,19
Michael Theurer,17
Werner Hoyer,17
Manfred Weber,16
Volker Wissing,16
Sven Giegold,16
Robert Habeck,15
Ska Keller,13
