name,count
Katrin Göring-Eckardt,986
Anton Hofreiter,829
Cem Özdemir,519
Robert Habeck,510
Jürgen Trittin,373
Renate Künast,218
Claudia Roth,154
Winfried Kretschmann,139
Boris Palmer,128
Simone Peter,106
Christian Lindner,76
Rebecca Harms,71
Ska Keller,58
Alexander Dobrindt,58
Konstantin von Notz,52
Horst Seehofer,49
Ilse Aigner,46
Norbert Röttgen,44
Wolfgang Kubicki,43
Ursula von der Leyen,42
Markus Söder,39
Philipp Rösler,35
Julia Klöckner,32
Omid Nouripour,29
Günther Oettinger,29
Peter Altmaier,28
Alexander Graf Lambsdorff,27
Johanna Wanka,26
Annegret Kramp-Karrenbauer,26
Thomas de Maizière,25
Jens Spahn,24
Karl-Theodor zu Guttenberg,23
Joachim Herrmann,22
Dorothee Bär,22
Sven Giegold,22
Annette Widmann-Mauz,22
Katja Suding,20
Peter Tauber,17
Christian Schmidt,16
Volker Kauder,16
Hans-Peter Friedrich,15
Wolfgang Schäuble,15
Hermann Gröhe,15
Andreas Scheuer,14
Nicola Beer,13
Volker Bouffier,12
Hermann Otto Solms,10
Marie-Agnes Strack-Zimmermann,10
Gerd Müller,9
Michael Theurer,7
Jens Weidmann,7
Werner Hoyer,5
Armin Laschet,5
Johannes Vogel,5
Carl-Ludwig Thiele,4
Manfred Weber,4
Ralph Brinkhaus,3
Volker Wissing,3
Gesine Meißner,3
