name,count
Alexander Dobrindt,1025
Anton Hofreiter,377
Dorothee Bär,300
Andreas Scheuer,253
Winfried Kretschmann,228
Norbert Röttgen,215
Jens Spahn,211
Wolfgang Kubicki,203
Alexander Graf Lambsdorff,203
Cem Özdemir,198
Peter Tauber,150
Boris Palmer,147
Jürgen Trittin,135
Markus Söder,134
Thomas de Maizière,126
Karl-Theodor zu Guttenberg,116
Christian Lindner,112
Katrin Göring-Eckardt,111
Julia Klöckner,110
Günther Oettinger,106
Katja Suding,104
Joachim Herrmann,103
Robert Habeck,96
Konstantin von Notz,94
Ilse Aigner,92
Renate Künast,87
Annegret Kramp-Karrenbauer,87
Ursula von der Leyen,87
Peter Altmaier,85
Hermann Gröhe,81
Nicola Beer,80
Philipp Rösler,78
Claudia Roth,75
Hans-Peter Friedrich,74
Armin Laschet,74
Volker Kauder,70
Hermann Otto Solms,68
Volker Bouffier,65
Horst Seehofer,56
Ralph Brinkhaus,55
Christian Schmidt,48
Manfred Weber,47
Wolfgang Schäuble,47
Gerd Müller,45
Johannes Vogel,45
Volker Wissing,44
Simone Peter,44
Sven Giegold,36
Gesine Meißner,36
Jens Weidmann,33
Marie-Agnes Strack-Zimmermann,33
Ska Keller,32
Rebecca Harms,32
Annette Widmann-Mauz,31
Carl-Ludwig Thiele,30
Michael Theurer,29
Omid Nouripour,24
Johanna Wanka,23
Werner Hoyer,21
