name,count
Ursula von der Leyen,1589
Thomas de Maizière,405
Karl-Theodor zu Guttenberg,368
Joachim Herrmann,173
Norbert Röttgen,161
Markus Söder,137
Alexander Graf Lambsdorff,119
Jens Spahn,117
Claudia Roth,114
Andreas Scheuer,111
Cem Özdemir,108
Hans-Peter Friedrich,98
Anton Hofreiter,97
Katrin Göring-Eckardt,96
Volker Kauder,91
Peter Altmaier,85
Wolfgang Kubicki,82
Horst Seehofer,76
Jürgen Trittin,76
Alexander Dobrindt,74
Christian Lindner,59
Peter Tauber,54
Volker Bouffier,53
Omid Nouripour,51
Winfried Kretschmann,50
Renate Künast,46
Philipp Rösler,45
Ilse Aigner,42
Hermann Gröhe,41
Konstantin von Notz,40
Julia Klöckner,39
Annegret Kramp-Karrenbauer,39
Hermann Otto Solms,31
Wolfgang Schäuble,28
Armin Laschet,27
Ralph Brinkhaus,27
Manfred Weber,25
Günther Oettinger,25
Johanna Wanka,25
Dorothee Bär,24
Christian Schmidt,23
Ska Keller,21
Gerd Müller,20
Rebecca Harms,15
Nicola Beer,15
Boris Palmer,14
Jens Weidmann,13
Simone Peter,12
Robert Habeck,11
Katja Suding,10
Carl-Ludwig Thiele,10
Sven Giegold,9
Marie-Agnes Strack-Zimmermann,8
Johannes Vogel,6
Annette Widmann-Mauz,6
Gesine Meißner,6
Volker Wissing,6
Michael Theurer,4
Werner Hoyer,3
