name,count
Christian Lindner,1159
Alexander Graf Lambsdorff,427
Wolfgang Kubicki,420
Jens Spahn,236
Karl-Theodor zu Guttenberg,150
Günther Oettinger,124
Winfried Kretschmann,114
Norbert Röttgen,110
Ilse Aigner,110
Markus Söder,104
Hermann Otto Solms,101
Ursula von der Leyen,100
Philipp Rösler,93
Peter Altmaier,92
Cem Özdemir,91
Thomas de Maizière,89
Jürgen Trittin,81
Annegret Kramp-Karrenbauer,77
Katja Suding,69
Jens Weidmann,66
Volker Kauder,61
Anton Hofreiter,60
Peter Tauber,60
Volker Bouffier,60
Julia Klöckner,59
Horst Seehofer,54
Katrin Göring-Eckardt,51
Armin Laschet,48
Sven Giegold,48
Wolfgang Schäuble,47
Volker Wissing,46
Alexander Dobrindt,46
Claudia Roth,44
Andreas Scheuer,42
Renate Künast,42
Carl-Ludwig Thiele,40
Robert Habeck,39
Nicola Beer,36
Boris Palmer,32
Joachim Herrmann,32
Ralph Brinkhaus,31
Hermann Gröhe,31
Hans-Peter Friedrich,28
Marie-Agnes Strack-Zimmermann,27
Johanna Wanka,26
Annette Widmann-Mauz,26
Dorothee Bär,24
Konstantin von Notz,23
Simone Peter,21
Michael Theurer,20
Gesine Meißner,20
Gerd Müller,19
Manfred Weber,19
Werner Hoyer,17
Johannes Vogel,15
Ska Keller,15
Omid Nouripour,14
Christian Schmidt,13
Rebecca Harms,11
